date,sector,employment_thousands,total_nonfarm_thousands,mom_change_thousands,yoy_change_thousands,mom_contribution_pct,yoy_contribution_pct,share_pct
2015-01-01,Mining and logging,888.000000,140568.000000,,,,,0.631723
2015-01-01,Construction,6320.000000,140568.000000,,,,,4.496045
2015-01-01,Manufacturing,12265.000000,140568.000000,,,,,8.725314
2015-01-01,Wholesale trade,5770.900000,140568.000000,,,,,4.105415
2015-01-01,Retail trade,15462.000000,140568.000000,,,,,10.999659
2015-01-01,Transportation and warehousing,4769.800000,140568.000000,,,,,3.393233
2015-01-01,Utilities,554.500000,140568.000000,,,,,0.394471
2015-01-01,Information,2740.000000,140568.000000,,,,,1.949235
2015-01-01,Financial activities,8059.000000,140568.000000,,,,,5.733168
2015-01-01,Professional and business services,19519.000000,140568.000000,,,,,13.885806
2015-01-01,Education and health services,21746.000000,140568.000000,,,,,15.470093
2015-01-01,Leisure and hospitality,14915.000000,140568.000000,,,,,10.610523
2015-01-01,Other services,5599.000000,140568.000000,,,,,3.983126
2015-01-01,Government,21960.000000,140568.000000,,,,,15.622332
2015-01-01,Residual / Other,-0.200000,140568.000000,,,,,-0.000142
2015-02-01,Mining and logging,875.000000,140827.000000,-13.000000,,-5.019305,,0.621330
2015-02-01,Construction,6361.000000,140827.000000,41.000000,,15.830116,,4.516890
2015-02-01,Manufacturing,12275.000000,140827.000000,10.000000,,3.861004,,8.716368
2015-02-01,Wholesale trade,5780.200000,140827.000000,9.300000,,3.590734,,4.104469
2015-02-01,Retail trade,15478.700000,140827.000000,16.700000,,6.447876,,10.991287
2015-02-01,Transportation and warehousing,4786.000000,140827.000000,16.200000,,6.254826,,3.398496
2015-02-01,Utilities,554.300000,140827.000000,-0.200000,,-0.077220,,0.393603
2015-02-01,Information,2741.000000,140827.000000,1.000000,,0.386100,,1.946360
2015-02-01,Financial activities,8070.000000,140827.000000,11.000000,,4.247104,,5.730435
2015-02-01,Professional and business services,19563.000000,140827.000000,44.000000,,16.988417,,13.891512
2015-02-01,Education and health services,21787.000000,140827.000000,41.000000,,15.830116,,15.470755
2015-02-01,Leisure and hospitality,14972.000000,140827.000000,57.000000,,22.007722,,10.631484
2015-02-01,Other services,5606.000000,140827.000000,7.000000,,2.702703,,3.980771
2015-02-01,Government,21978.000000,140827.000000,18.000000,,6.949807,,15.606382
2015-02-01,Residual / Other,-0.200000,140827.000000,-0.000000,,-0.000000,,-0.000142
2015-03-01,Mining and logging,860.000000,140923.000000,-15.000000,,-15.625000,,0.610262
2015-03-01,Construction,6334.000000,140923.000000,-27.000000,,-28.125000,,4.494653
2015-03-01,Manufacturing,12286.000000,140923.000000,11.000000,,11.458333,,8.718236
2015-03-01,Wholesale trade,5783.000000,140923.000000,2.800000,,2.916667,,4.103659
2015-03-01,Retail trade,15509.600000,140923.000000,30.900000,,32.187500,,11.005727
2015-03-01,Transportation and warehousing,4799.000000,140923.000000,13.000000,,13.541667,,3.405406
2015-03-01,Utilities,554.700000,140923.000000,0.400000,,0.416667,,0.393619
2015-03-01,Information,2737.000000,140923.000000,-4.000000,,-4.166667,,1.942195
2015-03-01,Financial activities,8081.000000,140923.000000,11.000000,,11.458333,,5.734337
2015-03-01,Professional and business services,19592.000000,140923.000000,29.000000,,30.208333,,13.902628
2015-03-01,Education and health services,21829.000000,140923.000000,42.000000,,43.750000,,15.490019
2015-03-01,Leisure and hospitality,14981.000000,140923.000000,9.000000,,9.375000,,10.630628
2015-03-01,Other services,5607.000000,140923.000000,1.000000,,1.041667,,3.978769
2015-03-01,Government,21970.000000,140923.000000,-8.000000,,-8.333333,,15.590074
2015-03-01,Residual / Other,-0.300000,140923.000000,-0.100000,,-0.104167,,-0.000213
2015-04-01,Mining and logging,844.000000,141196.000000,-16.000000,,-5.860806,,0.597751
2015-04-01,Construction,6392.000000,141196.000000,58.000000,,21.245421,,4.527040
2015-04-01,Manufacturing,12291.000000,141196.000000,5.000000,,1.831502,,8.704921
2015-04-01,Wholesale trade,5778.700000,141196.000000,-4.300000,,-1.575092,,4.092680
2015-04-01,Retail trade,15522.100000,141196.000000,12.500000,,4.578755,,10.993300
2015-04-01,Transportation and warehousing,4805.900000,141196.000000,6.900000,,2.527473,,3.403708
2015-04-01,Utilities,555.000000,141196.000000,0.300000,,0.109890,,0.393071
2015-04-01,Information,2742.000000,141196.000000,5.000000,,1.831502,,1.941981
2015-04-01,Financial activities,8086.000000,141196.000000,5.000000,,1.831502,,5.726791
2015-04-01,Professional and business services,19635.000000,141196.000000,43.000000,,15.750916,,13.906201
2015-04-01,Education and health services,21902.000000,141196.000000,73.000000,,26.739927,,15.511771
2015-04-01,Leisure and hospitality,15023.000000,141196.000000,42.000000,,15.384615,,10.639820
2015-04-01,Other services,5614.000000,141196.000000,7.000000,,2.564103,,3.976033
2015-04-01,Government,22005.000000,141196.000000,35.000000,,12.820513,,15.584719
2015-04-01,Residual / Other,0.300000,141196.000000,0.600000,,0.219780,,0.000212
2015-05-01,Mining and logging,823.000000,141538.000000,-21.000000,,-6.140351,,0.581469
2015-05-01,Construction,6427.000000,141538.000000,35.000000,,10.233918,,4.540830
2015-05-01,Manufacturing,12306.000000,141538.000000,15.000000,,4.385965,,8.694485
2015-05-01,Wholesale trade,5784.900000,141538.000000,6.200000,,1.812865,,4.087171
2015-05-01,Retail trade,15557.300000,141538.000000,35.200000,,10.292398,,10.991606
2015-05-01,Transportation and warehousing,4828.100000,141538.000000,22.200000,,6.491228,,3.411169
2015-05-01,Utilities,556.200000,141538.000000,1.200000,,0.350877,,0.392969
2015-05-01,Information,2747.000000,141538.000000,5.000000,,1.461988,,1.940822
2015-05-01,Financial activities,8097.000000,141538.000000,11.000000,,3.216374,,5.720725
2015-05-01,Professional and business services,19718.000000,141538.000000,83.000000,,24.269006,,13.931241
2015-05-01,Education and health services,21956.000000,141538.000000,54.000000,,15.789474,,15.512442
2015-05-01,Leisure and hospitality,15103.000000,141538.000000,80.000000,,23.391813,,10.670633
2015-05-01,Other services,5622.000000,141538.000000,8.000000,,2.339181,,3.972078
2015-05-01,Government,22012.000000,141538.000000,7.000000,,2.046784,,15.552007
2015-05-01,Residual / Other,0.500000,141538.000000,0.200000,,0.058480,,0.000353
2015-06-01,Mining and logging,817.000000,141709.000000,-6.000000,,-3.508772,,0.576534
2015-06-01,Construction,6441.000000,141709.000000,14.000000,,8.187135,,4.545230
2015-06-01,Manufacturing,12307.000000,141709.000000,1.000000,,0.584795,,8.684699
2015-06-01,Wholesale trade,5785.700000,141709.000000,0.800000,,0.467836,,4.082803
2015-06-01,Retail trade,15567.800000,141709.000000,10.500000,,6.140351,,10.985752
2015-06-01,Transportation and warehousing,4855.200000,141709.000000,27.100000,,15.847953,,3.426176
2015-06-01,Utilities,555.400000,141709.000000,-0.800000,,-0.467836,,0.391930
2015-06-01,Information,2748.000000,141709.000000,1.000000,,0.584795,,1.939185
2015-06-01,Financial activities,8115.000000,141709.000000,18.000000,,10.526316,,5.726524
2015-06-01,Professional and business services,19768.000000,141709.000000,50.000000,,29.239766,,13.949714
2015-06-01,Education and health services,22011.000000,141709.000000,55.000000,,32.163743,,15.532535
2015-06-01,Leisure and hospitality,15108.000000,141709.000000,5.000000,,2.923977,,10.661285
2015-06-01,Other services,5615.000000,141709.000000,-7.000000,,-4.093567,,3.962345
2015-06-01,Government,22015.000000,141709.000000,3.000000,,1.754386,,15.535358
2015-06-01,Residual / Other,-0.100000,141709.000000,-0.600000,,-0.350877,,-0.000071
2015-07-01,Mining and logging,807.000000,141991.000000,-10.000000,,-3.546099,,0.568346
2015-07-01,Construction,6472.000000,141991.000000,31.000000,,10.992908,,4.558035
2015-07-01,Manufacturing,12323.000000,141991.000000,16.000000,,5.673759,,8.678719
2015-07-01,Wholesale trade,5784.100000,141991.000000,-1.600000,,-0.567376,,4.073568
2015-07-01,Retail trade,15582.800000,141991.000000,15.000000,,5.319149,,10.974498
2015-07-01,Transportation and warehousing,4878.600000,141991.000000,23.400000,,8.297872,,3.435852
2015-07-01,Utilities,556.300000,141991.000000,0.900000,,0.319149,,0.391785
2015-07-01,Information,2752.000000,141991.000000,4.000000,,1.418440,,1.938151
2015-07-01,Financial activities,8134.000000,141991.000000,19.000000,,6.737589,,5.728532
2015-07-01,Professional and business services,19803.000000,141991.000000,35.000000,,12.411348,,13.946659
2015-07-01,Education and health services,22052.000000,141991.000000,41.000000,,14.539007,,15.530562
2015-07-01,Leisure and hospitality,15168.000000,141991.000000,60.000000,,21.276596,,10.682367
2015-07-01,Other services,5628.000000,141991.000000,13.000000,,4.609929,,3.963631
2015-07-01,Government,22050.000000,141991.000000,35.000000,,12.411348,,15.529153
2015-07-01,Residual / Other,0.200000,141991.000000,0.300000,,0.106383,,0.000141
2015-08-01,Mining and logging,794.000000,142125.000000,-13.000000,,-9.701493,,0.558663
2015-08-01,Construction,6490.000000,142125.000000,18.000000,,13.432836,,4.566403
2015-08-01,Manufacturing,12318.000000,142125.000000,-5.000000,,-3.731343,,8.667018
2015-08-01,Wholesale trade,5785.200000,142125.000000,1.100000,,0.820896,,4.070501
2015-08-01,Retail trade,15589.200000,142125.000000,6.400000,,4.776119,,10.968654
