date,state,abbr,employment_thousands,mom_change_thousands,yoy_change_thousands,mom_growth_pct,yoy_growth_pct,share_us_pct
2015-01-01,Alabama,AL,1958.700000,,,,,1.393418
2015-02-01,Alabama,AL,1960.600000,1.900000,,0.097003,,1.392205
2015-03-01,Alabama,AL,1958.100000,-2.500000,,-0.127512,,1.389482
2015-04-01,Alabama,AL,1962.500000,4.400000,,0.224708,,1.389912
2015-05-01,Alabama,AL,1969.100000,6.600000,,0.336306,,1.391216
2015-06-01,Alabama,AL,1969.300000,0.200000,,0.010157,,1.389679
2015-07-01,Alabama,AL,1970.600000,1.300000,,0.066013,,1.387834
2015-08-01,Alabama,AL,1975.100000,4.500000,,0.228357,,1.389692
2015-09-01,Alabama,AL,1976.800000,1.700000,,0.086072,,1.389422
2015-10-01,Alabama,AL,1980.100000,3.300000,,0.166936,,1.388774
2015-11-01,Alabama,AL,1983.600000,3.500000,,0.176759,,1.388998
2015-12-01,Alabama,AL,1986.600000,3.000000,,0.151240,,1.388483
2016-01-01,Alabama,AL,1988.600000,2.000000,29.900000,0.100675,1.526523,1.388590
2016-02-01,Alabama,AL,1988.900000,0.300000,28.300000,0.015086,1.443436,1.386902
2016-03-01,Alabama,AL,1990.200000,1.300000,32.100000,0.065363,1.639344,1.385335
2016-04-01,Alabama,AL,1995.500000,5.300000,33.000000,0.266305,1.681529,1.387170
2016-05-01,Alabama,AL,1994.800000,-0.700000,25.700000,-0.035079,1.305165,1.386240
2016-06-01,Alabama,AL,1993.600000,-1.200000,24.300000,-0.060156,1.233941,1.383033
2016-07-01,Alabama,AL,1999.700000,6.100000,29.100000,0.305979,1.476708,1.383684
2016-08-01,Alabama,AL,1999.800000,0.100000,24.700000,0.005001,1.250570,1.382404
2016-09-01,Alabama,AL,2005.600000,5.800000,28.800000,0.290029,1.456900,1.383487
2016-10-01,Alabama,AL,2002.300000,-3.300000,22.200000,-0.164539,1.121155,1.380278
2016-11-01,Alabama,AL,2000.500000,-1.800000,16.900000,-0.089897,0.851986,1.377916
2016-12-01,Alabama,AL,2003.500000,3.000000,16.900000,0.149963,0.850700,1.377847
2017-01-01,Alabama,AL,2009.300000,5.800000,20.700000,0.289493,1.040933,1.379748
2017-02-01,Alabama,AL,2012.300000,3.000000,23.400000,0.149306,1.176530,1.379743
2017-03-01,Alabama,AL,2016.000000,3.700000,25.800000,0.183869,1.296352,1.381106
2017-04-01,Alabama,AL,2012.500000,-3.500000,17.000000,-0.173611,0.851917,1.376774
2017-05-01,Alabama,AL,2016.300000,3.800000,21.500000,0.188820,1.077802,1.377442
2017-06-01,Alabama,AL,2018.600000,2.300000,25.000000,0.114070,1.254013,1.377104
2017-07-01,Alabama,AL,2018.800000,0.200000,19.100000,0.009908,0.955143,1.375467
2017-08-01,Alabama,AL,2021.100000,2.300000,21.300000,0.113929,1.065107,1.375656
2017-09-01,Alabama,AL,2022.800000,1.700000,17.200000,0.084113,0.857599,1.375980
2017-10-01,Alabama,AL,2026.800000,4.000000,24.500000,0.197746,1.223593,1.377379
2017-11-01,Alabama,AL,2023.900000,-2.900000,23.400000,-0.143083,1.169708,1.373327
